subsample,reg_lambda,reg_alpha,min_child_weight,max_depth,gamma,eta,colsample_bytree,train_rmsle,valid_rmsle,test_rmsle,train_r2score,valid_r2score,test_r2score
0.7,0.01,100.0,5,7,1.0,0.5,0.7,0.2498318119064347,0.2515871966874609,0.2505235766631907,0.807721509594802,0.8048467961013367,0.80646177730194
0.9,5.0,0.01,2,9,2.0,0.05,0.9,0.23956294287477797,0.2427592864173507,0.24199011297099718,0.8232031563412036,0.8183019284083997,0.8194220217545334
0.9,100.0,5.0,50,7,0.5,0.1,0.5,0.23670764100846703,0.23997921142384315,0.23926595213555013,0.8273924520452556,0.822439705202362,0.8234647868037855
0.8,0.01,10.0,5,11,1.0,0.01,0.3,0.23803991847052447,0.24128011875055727,0.24069619970870815,0.8254439868601464,0.82050940820326,0.8213479481703058
0.7,0.1,1.0,100,11,1.0,0.01,0.9,0.23185137723709942,0.23725806066618657,0.23643519432420015,0.8344021902280544,0.8264436268617459,0.8276172563324833
0.7,10.0,0.1,10,5,0.25,0.5,0.3,0.22849304639564938,0.2378308274378768,0.23719489451706746,0.8391647626512068,0.8256046474541221,0.8265076956400583
0.8,5.0,10.0,2,3,1.0,0.3,0.3,0.25334918962190006,0.25454113191999045,0.25351975549652384,0.8022692255703117,0.8002372280764268,0.8018047889969704
0.8,0.1,100.0,100,11,1.0,0.5,0.1,0.25585842290586447,0.2573537337761375,0.25656829246581336,0.7983330799628727,0.7957982025110522,0.7970095952935564
0.7,5.0,0.01,2,3,0.5,0.1,0.3,0.2474435183373875,0.2489325013120339,0.24804679145029151,0.8113801510594272,0.8089434991089891,0.8102696669234429
0.9,1.0,0.01,20,3,5.0,0.05,0.5,0.26319548960856787,0.2637152333971025,0.2631804032772498,0.7866011310075758,0.7855781452682964,0.7864121038847528
0.9,1.0,0.0,20,11,0.5,0.01,0.3,0.22506892762317873,0.2344681014210507,0.23372817353896339,0.8439490877848884,0.8305013876017706,0.8315419875595147
0.9,100.0,1.0,2,13,0.25,0.01,0.3,0.2196645704422453,0.23097884989779127,0.23019357340333677,0.8513533043896186,0.8355086584146,0.8365985405479623
0.9,0.0,10.0,10,13,0.1,0.01,0.7,0.21226507623043786,0.22694099568528542,0.22609632719831174,0.8611990877862454,0.8412094965976947,0.8423635823370067
0.8,100.0,0.0,100,3,0.1,0.05,0.3,0.24397351707404963,0.24576868115467196,0.24483302554509118,0.8166332438095181,0.8137691216750482,0.8151542197996923
0.8,5.0,0.0,1,3,5.0,0.05,0.7,0.26341344441054226,0.2639269591952877,0.2632869172340527,0.7862475492152706,0.7852337065942092,0.7862391829883053
0.8,0.1,0.0,50,11,0.5,0.5,0.5,0.2285339305544008,0.24154635453900106,0.241013287720514,0.8391072011475539,0.8201130789558736,0.8208769333582917
0.8,0.1,100.0,1,3,0.25,0.3,0.5,0.25023690506512863,0.25123799086253007,0.2504949053513459,0.8070974589673356,0.8053881697556422,0.8065060739488413
0.8,10.0,0.1,50,7,0.25,0.01,0.7,0.22865220480764928,0.2343699901967357,0.23337694511466536,0.8389406228210995,0.8306432084891164,0.8320478982113794
